episode,reward_agent_0,red_coins,blue_coins
1288,21.0,13,8
1289,29.0,15,14
1290,21.0,8,13
1291,34.0,11,23
1292,39.0,17,22
1293,34.0,14,20
1294,27.0,12,15
1295,39.0,22,17
1296,30.0,18,12
1297,30.0,16,14
1298,28.0,15,13
1299,31.0,14,17
1300,31.0,14,17
1301,28.0,18,10
1302,34.0,19,15
1303,29.0,9,20
1304,33.0,15,18
1305,35.0,15,20
1306,31.0,10,21
1307,34.0,10,24
1308,30.0,6,24
1309,35.0,22,13
1310,26.0,13,13
1311,31.0,11,20
1312,35.0,18,17
1313,32.0,14,18
1314,34.0,12,22
1315,32.0,15,17
1316,23.0,15,8
1317,26.0,8,18
1318,11.0,3,8
1319,35.0,17,18
1320,32.0,15,17
1321,23.0,15,8
1322,43.0,24,19
1323,35.0,20,15
1324,25.0,14,11
1325,25.0,16,9
1326,34.0,17,17
1327,30.0,17,13
1328,33.0,11,22
1329,30.0,19,11
1330,32.0,12,20
1331,27.0,17,10
1332,31.0,14,17
1333,30.0,15,15
1334,31.0,19,12
1335,39.0,13,26
1336,21.0,9,12
1337,34.0,17,17
1338,36.0,13,23
1339,32.0,14,18
1340,29.0,17,12
1341,32.0,9,23
1342,30.0,13,17
1343,30.0,14,16
1344,11.0,7,4
1345,34.0,20,14
1346,31.0,20,11
1347,30.0,15,15
1348,27.0,14,13
1349,27.0,13,14
1350,27.0,11,16
